경기번호,팀명,경기날짜,결과,No.,이름,출전세트_1set,출전세트_2set,출전세트_3set,출전세트_4set,출전세트_5set,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실
1,흥국생명,2017-10-14,1,17,이재영 (L),O,O,O,O,O,13,41,10,2,1,24.39,21.24,32,7,1,1,21.88,30.19,3,1,0,0,33.33,33.33,0,0,0,0,0.0,0.0,5,1,1,0,20.0,10.2,0,0,0,0,0.0,0.0,1,1,0,0,100.0,10.0,21,1,2,0.2,19.27,27,22,5,0,4.4,18.62,4,0,0,0.0,2.05,34,21,1,4.0,40.0,6,2,4,0,0,0.4,8.33,0,0,3
1,흥국생명,2017-10-14,1,1,정시영 (R),O,O,O,O,O,8,10,3,1,1,30.0,5.18,2,0,1,0,0.0,1.89,0,0,0,0,0.0,0.0,5,2,0,1,40.0,55.56,0,0,0,0,0.0,0.0,3,1,0,0,33.33,30.0,0,0,0,0,0.0,0.0,15,1,2,0.2,13.76,8,6,2,0,1.2,5.52,6,2,0,0.4,3.08,0,0,0,0.0,0.0,20,4,11,4,0,0.8,27.78,2,0,3
1,흥국생명,2017-10-14,1,16,이한비 (L),,,9,O,O,4,19,4,1,1,21.05,9.84,15,3,1,1,20.0,14.15,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,0,0,0,0.0,2.04,0,0,0,0,0.0,0.0,3,1,0,0,33.33,30.0,7,0,3,0.0,6.42,5,5,0,0,1.67,3.45,1,1,0,0.33,0.51,8,5,0,1.67,9.41,1,0,1,0,0,0.0,1.39,0,0,4
1,흥국생명,2017-10-14,1,7,김나희 (C),O,O,4,O,O,3,11,2,1,0,18.18,5.7,1,0,0,0,0.0,0.94,0,0,0,0,0.0,0.0,3,0,0,0,0.0,33.33,0,0,0,0,0.0,0.0,7,2,1,0,28.57,70.0,0,0,0,0,0.0,0.0,11,0,0,0.0,10.09,5,3,2,0,0.6,3.45,3,0,1,0.0,1.54,0,0,0,0.0,0.0,13,1,10,1,0,0.2,18.06,3,0,1
1,흥국생명,2017-10-14,1,14,조송화 (S),O,O,O,O,O,3,3,0,0,0,0.0,1.55,3,0,0,0,0.0,2.83,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,13,0,2,0.0,11.93,19,18,1,0,3.6,13.1,150,50,1,10.0,76.92,0,0,0,0.0,0.0,13,3,4,4,0,0.6,18.06,3,0,3
1,흥국생명,2017-10-14,1,12,공윤희 (R),7,,,1,7,3,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,11,3,0,1.0,10.09,2,2,0,0,0.67,1.38,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0
1,흥국생명,2017-10-14,1,4,임해정 (C),,7,O,,,1,1,0,1,0,0.0,0.52,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,0,1,0,0.0,11.11,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,0,0,0.0,3.67,1,1,0,0,0.5,0.69,0,0,0,0.0,0.0,0,0,0,0.0,0.0,2,1,0,0,0,0.5,2.78,0,0,0
1,흥국생명,2017-10-14,1,3,신연경 (L),O,O,O,,,0,3,0,1,0,0.0,1.55,3,0,1,0,0.0,2.83,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,7,0,0,0.0,6.42,10,9,1,0,3.0,6.9,4,0,0,0.0,2.05,21,6,2,1.33,24.71,4,0,3,1,0,0.0,5.56,0,0,0
1,흥국생명,2017-10-14,1,5,김해란 (Li),LI,LI,LI,LI,LI,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,36,32,4,0,6.4,24.83,17,7,0,1.4,8.72,14,7,3,0.8,16.47,0,0,0,0,0,0.0,0.0,0,0,0
1,흥국생명,2017-10-14,1,20,남지연 (L),17,17,17,17,,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,7,7,0,0,1.75,4.83,3,0,0,0.0,1.54,2,1,0,0.25,2.35,0,0,0,0,0,0.0,0.0,0,0,0
1,흥국생명,2017-10-14,1,6,한지현 (L),3,,3,16,16,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,0,0.0,1.83,6,6,0,0,1.5,4.14,1,0,0,0.0,0.51,6,3,1,0.5,7.06,0,0,0,0,0,0.0,0.0,0,0,0
1,흥국생명,2017-10-14,1,13,황현정 (C),,3,,,,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1,0,0
2,KGC인삼공사,2017-10-15,0,2,알레나 (R),O,O,O,O,O,44,108,42,9,4,38.89,52.68,61,23,7,0,37.7,51.26,1,0,0,0,0.0,25.0,0,0,0,0,0.0,0.0,40,16,2,4,40.0,100.0,0,0,0,0,0.0,0.0,6,3,0,0,50.0,18.75,16,0,1,0.0,14.81,26,20,6,0,4.0,17.81,11,1,0,0.2,5.26,0,0,0,0.0,0.0,18,2,1,6,0,0.4,23.08,1,0,5
2,KGC인삼공사,2017-10-15,0,12,한송이 (L),O,O,O,O,O,13,34,11,3,0,32.35,16.59,16,5,0,0,31.25,13.45,3,1,0,0,33.33,75.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,15,5,3,0,33.33,46.88,16,0,0,0.0,14.81,22,22,0,0,4.4,15.07,10,4,0,0.8,4.78,33,12,2,2.0,32.04,10,2,3,3,1,0.4,12.82,1,0,1
2,KGC인삼공사,2017-10-15,0,14,유희옥 (C),O,O,O,O,O,5,7,2,0,0,28.57,3.41,2,1,0,0,50.0,1.68,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,5,1,0,0,20.0,83.33,0,0,0,0,0.0,0.0,16,1,1,0.2,14.81,2,2,0,0,0.4,1.37,9,3,0,0.6,4.31,0,0,0,0.0,0.0,11,2,5,3,0,0.4,14.1,2,0,1
2,KGC인삼공사,2017-10-15,0,10,최수빈 (L),O,O,O,O,O,4,29,4,4,2,13.79,14.15,21,2,3,1,9.52,17.65,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,8,2,1,1,25.0,25.0,16,0,1,0.0,14.81,20,15,5,0,3.0,13.7,5,2,0,0.4,2.39,42,19,1,3.6,40.78,9,0,6,2,0,0.0,11.54,0,0,3
2,KGC인삼공사,2017-10-15,0,13,이재은 (S),O,O,O,O,O,4,5,2,0,0,40.0,2.44,5,2,0,0,40.0,4.2,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,17,2,1,0.4,15.74,18,15,3,0,3.0,12.33,156,51,1,10.2,74.64,0,0,0,0.0,0.0,11,0,8,1,0,0.0,14.1,1,0,2
2,KGC인삼공사,2017-10-15,0,15,이선정 (C),O,O,O,O,O,3,10,2,1,0,20.0,4.88,5,1,1,0,20.0,4.2,0,0,0,0,0.0,0.0,4,1,0,0,25.0,100.0,0,0,0,0,0.0,0.0,1,0,0,0,0.0,16.67,0,0,0,0,0.0,0.0,17,0,0,0.0,15.74,7,5,2,0,1.0,4.79,9,1,0,0.2,4.31,2,1,0,0.2,1.94,17,1,7,6,1,0.2,21.79,0,0,1
2,KGC인삼공사,2017-10-15,0,8,박상미 (L),12,,14,12,14,3,1,1,0,0,100.0,0.49,1,1,0,0,100.0,0.84,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,5,2,0,0.5,4.63,3,3,0,0,0.75,2.05,0,0,0,0.0,0.0,4,1,0,0.25,3.88,0,0,0,0,0,0.0,0.0,0,0,0
2,KGC인삼공사,2017-10-15,0,1,지민경 (L),10,10,,10,10,2,9,2,3,0,22.22,4.39,7,2,3,0,28.57,5.88,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,0,0,0.0,6.25,2,0,0,0.0,1.85,5,4,1,0,1.0,3.42,0,0,0,0.0,0.0,3,1,1,0.0,2.91,1,0,1,0,0,0.0,1.28,0,0,0
2,KGC인삼공사,2017-10-15,0,7,박세윤 (L),,,,2,,1,2,1,0,1,50.0,0.98,1,0,0,1,0.0,0.84,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,0,0,100.0,3.13,1,0,0,0.0,0.93,1,0,1,0,0.0,0.68,2,0,0,0.0,0.96,0,0,0,0.0,0.0,1,0,0,1,0,0.0,1.28,0,0,1
2,KGC인삼공사,2017-10-15,0,3,김혜원 (S),14,,,,15,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,0,0.0,1.85,1,1,0,0,0.5,0.68,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0
2,KGC인삼공사,2017-10-15,0,9,오지영 (Li),LI,LI,LI,LI,LI,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,41,31,10,0,6.2,28.08,7,1,0,0.2,3.35,19,15,1,2.8,18.45,0,0,0,0,0,0.0,0.0,0,0,0
2,현대건설,2017-10-15,1,17,엘리자베스 (L),O,O,O,O,O,38,82,34,4,6,41.46,41.41,50,18,2,3,36.0,54.35,5,3,0,1,60.0,17.86,0,0,0,0,0.0,0.0,22,11,2,2,50.0,66.67,0,0,0,0,0.0,0.0,5,2,0,0,40.0,17.24,15,1,2,0.2,12.93,22,19,3,0,3.8,16.67,1,0,0,0.0,0.48,52,17,2,3.0,50.0,20,3,7,7,0,0.6,19.05,4,0,8
2,현대건설,2017-10-15,1,4,황연주 (R),O,O,O,O,O,21,43,19,2,3,44.19,21.72,17,6,1,2,35.29,18.48,3,1,0,0,33.33,10.71,0,0,0,0,0.0,0.0,10,5,0,1,50.0,30.3,0,0,0,0,0.0,0.0,13,7,1,0,53.85,44.83,21,1,2,0.2,18.1,18,17,1,0,3.4,13.64,7,0,0,0.0,3.38,0,0,0,0.0,0.0,8,1,2,3,0,0.2,7.62,3,0,5
2,현대건설,2017-10-15,1,14,양효진 (C),O,O,O,O,O,16,23,10,0,1,43.48,11.62,3,1,0,0,33.33,3.26,13,3,0,0,23.08,46.43,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,7,6,0,1,85.71,43.75,0,0,0,0,0.0,0.0,14,2,2,0.4,12.07,6,6,0,0,1.2,4.55,3,0,0,0.0,1.45,0,0,0,0.0,0.0,28,4,9,8,2,0.8,26.67,6,0,5
2,현대건설,2017-10-15,1,13,김세영 (C),O,O,O,O,O,12,13,4,1,1,30.77,6.57,2,0,0,0,0.0,2.17,2,1,0,0,50.0,7.14,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,9,3,1,1,33.33,56.25,0,0,0,0,0.0,0.0,13,0,0,0.0,11.21,3,3,0,0,0.6,2.27,2,1,0,0.2,0.97,0,0,0,0.0,0.0,24,8,8,6,0,1.6,22.86,1,0,1
2,현대건설,2017-10-15,1,15,황민경 (L),O,O,O,O,O,11,37,10,0,1,27.03,18.69,20,6,0,1,30.0,21.74,5,1,0,0,20.0,17.86,0,0,0,0,0.0,0.0,1,0,0,0,0.0,3.03,0,0,0,0,0.0,0.0,11,3,0,0,27.27,37.93,25,0,4,0.0,21.55,23,20,3,0,4.0,17.42,12,2,0,0.4,5.8,33,19,2,3.4,31.73,11,1,6,3,1,0.2,10.48,0,0,6
2,현대건설,2017-10-15,1,19,이다영 (S),O,O,O,O,O,3,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,15,0,2,0.0,12.93,18,14,4,0,2.8,13.64,157,63,1,12.6,75.85,0,0,0,0.0,0.0,14,3,1,3,0,0.6,13.33,3,0,3
2,현대건설,2017-10-15,1,7,고유민 (L),4,14,14,14,13,1,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,7,1,1,0.2,6.03,4,4,0,0,0.8,3.03,0,0,0,0.0,0.0,2,0,0,0.0,1.92,0,0,0,0,0,0.0,0.0,0,0,1
2,현대건설,2017-10-15,1,8,김연견 (Li),LI,LI,LI,LI,LI,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,38,34,4,0,6.8,28.79,25,9,0,1.8,12.08,17,11,1,2.0,16.35,0,0,0,0,0,0.0,0.0,0,0,0
2,현대건설,2017-10-15,1,5,박혜미 (L),13,,,13,14,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,6,0,0,0.0,5.17,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0
3,한국도로공사,2017-10-17,0,17,이바나 (R),O,O,O,O,O,28,46,23,2,3,50.0,29.49,39,21,2,1,53.85,42.39,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,0,1,0.0,40.0,0,0,0,0,0.0,0.0,5,2,0,1,40.0,16.67,18,3,6,0.6,16.67,10,6,4,0,1.2,8.93,6,1,0,0.2,3.7,0,0,0,0.0,0.0,7,2,0,4,0,0.4,9.21,1,0,9
3,한국도로공사,2017-10-17,0,9,박정아 (L),O,O,O,O,O,17,49,17,2,1,34.69,31.41,27,9,0,0,33.33,29.35,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,1,0,1,33.33,60.0,0,0,0,0,0.0,0.0,19,7,2,0,36.84,63.33,9,0,0,0.0,8.33,10,10,0,0,2.0,8.93,1,0,0,0.0,0.62,10,1,2,0.0,10.2,8,0,2,2,0,0.0,10.53,0,0,1
3,한국도로공사,2017-10-17,0,13,정대영 (C),O,O,O,O,O,14,22,10,1,3,45.45,14.1,6,1,0,2,16.67,6.52,7,3,0,1,42.86,70.0,2,1,0,0,50.0,33.33,0,0,0,0,0.0,0.0,6,5,0,0,83.33,46.15,1,0,1,0,0.0,3.33,21,1,0,0.2,19.44,9,8,1,0,1.6,8.04,10,5,0,1.0,6.17,1,0,0,0.0,1.02,16,3,6,4,0,0.6,21.05,0,0,3
3,한국도로공사,2017-10-17,0,10,배유나 (C),O,O,O,O,O,12,21,9,1,0,42.86,13.46,8,2,1,0,25.0,8.7,2,1,0,0,50.0,20.0,4,2,0,0,50.0,66.67,0,0,0,0,0.0,0.0,7,4,0,0,57.14,53.85,0,0,0,0,0.0,0.0,12,0,1,0.0,11.11,6,6,0,0,1.2,5.36,6,1,1,0.2,3.7,0,0,0,0.0,0.0,19,3,8,2,1,0.6,25.0,3,0,3
3,한국도로공사,2017-10-17,0,7,최은지 (L),O,12,O,O,O,8,14,5,1,1,35.71,8.97,8,4,0,0,50.0,8.7,1,0,0,0,0.0,10.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,5,1,1,1,20.0,16.67,17,2,1,0.4,15.74,11,10,1,0,2.0,9.82,6,1,0,0.2,3.7,35,15,5,2.0,35.71,15,1,10,4,0,0.2,19.74,0,0,2
3,한국도로공사,2017-10-17,0,5,이효희 (S),O,O,O,O,O,3,4,2,0,0,50.0,2.56,4,2,0,0,50.0,4.35,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,23,1,0,0.2,21.3,21,17,4,0,3.4,18.75,112,46,1,9.2,69.14,1,0,0,0.0,1.02,8,0,6,1,0,0.0,10.53,1,0,1
3,한국도로공사,2017-10-17,0,12,문정원 (R),7,O,9,17,17,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,2,0.0,1.85,12,8,4,0,1.6,10.71,2,1,0,0.2,1.23,12,3,0,0.6,12.24,0,0,0,0,0,0.0,0.0,1,0,2
3,한국도로공사,2017-10-17,0,18,유서연 (L),9,9,17,9,9,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,6,0,1,0.0,5.56,3,3,0,0,0.6,2.68,2,1,0,0.2,1.23,5,2,0,0.4,5.1,0,0,0,0,0,0.0,0.0,0,0,1
3,한국도로공사,2017-10-17,0,8,임명옥 (Li),LI,LI,LI,LI,LI,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,30,22,8,0,4.4,26.79,17,5,0,1.0,10.49,34,17,2,3.0,34.69,0,0,0,0,0,0.0,0.0,0,0,0
3,한국도로공사,2017-10-17,0,11,정선아 (C),,5,5,,5,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,3,0,1,2,0,0.0,3.95,0,0,0
3,GS칼텍스,2017-10-17,1,10,강소휘 (L),O,O,O,O,O,24,47,21,3,2,44.68,26.86,17,5,3,0,29.41,23.94,1,1,0,0,100.0,14.29,0,0,0,0,0.0,0.0,8,4,0,1,50.0,42.11,0,0,0,0,0.0,0.0,21,11,0,1,52.38,40.38,23,3,5,0.6,21.1,14,12,2,0,2.4,12.39,2,1,0,0.2,1.11,36,19,3,3.2,37.11,6,0,2,2,0,0.0,8.33,2,0,7
3,GS칼텍스,2017-10-17,1,19,듀크 (R),O,O,O,O,O,20,51,18,2,5,35.29,29.14,28,12,1,2,42.86,39.44,4,1,0,0,25.0,57.14,0,0,0,0,0.0,0.0,8,3,0,1,37.5,42.11,0,0,0,0,0.0,0.0,11,2,1,2,18.18,21.15,13,0,0,0.0,11.93,14,12,1,1,2.4,12.39,2,1,0,0.2,1.11,0,0,0,0.0,0.0,8,2,2,2,0,0.4,11.11,0,0,6
